,Year,Type,Frequency
76,1965,Eruption,34
45,1965,Earthquake,339
51,1966,Earthquake,233
73,1966,Eruption,35
57,1967,Eruption,43
50,1967,Earthquake,255
75,1968,Eruption,35
49,1968,Earthquake,303
84,1969,Eruption,33
47,1969,Earthquake,322
77,1970,Eruption,34
42,1970,Earthquake,344
74,1971,Eruption,35
40,1971,Earthquake,386
92,1972,Eruption,30
39,1972,Earthquake,388
56,1973,Eruption,43
37,1973,Earthquake,394
90,1974,Eruption,31
41,1974,Earthquake,355
35,1975,Earthquake,402
103,1975,Eruption,24
95,1976,Eruption,29
26,1976,Earthquake,447
64,1977,Eruption,39
34,1977,Earthquake,417
36,1978,Earthquake,395
102,1978,Eruption,26
43,1979,Earthquake,343
79,1979,Eruption,34
59,1980,Eruption,42
46,1980,Earthquake,335
48,1981,Earthquake,313
89,1981,Eruption,32
44,1982,Earthquake,340
88,1982,Eruption,32
85,1983,Eruption,33
31,1983,Earthquake,443
71,1984,Eruption,35
22,1984,Earthquake,467
96,1985,Eruption,29
20,1985,Earthquake,469
16,1986,Earthquake,484
60,1986,Eruption,41
14,1987,Earthquake,489
86,1987,Eruption,32
97,1988,Eruption,28
18,1988,Earthquake,479
19,1989,Earthquake,473
99,1989,Eruption,27
9,1990,Earthquake,524
94,1990,Eruption,30
33,1991,Earthquake,428
66,1991,Eruption,38
8,1992,Earthquake,532
100,1992,Eruption,27
23,1993,Earthquake,465
98,1993,Eruption,28
83,1994,Eruption,33
13,1994,Earthquake,506
2,1995,Earthquake,589
82,1995,Eruption,33
6,1996,Earthquake,540
69,1996,Eruption,35
101,1997,Eruption,26
25,1997,Earthquake,456
87,1998,Eruption,32
38,1998,Earthquake,388
28,1999,Earthquake,446
63,1999,Eruption,39
61,2000,Eruption,39
5,2000,Earthquake,553
72,2001,Eruption,35
32,2001,Earthquake,443
58,2002,Eruption,42
30,2002,Earthquake,444
93,2003,Eruption,30
15,2003,Earthquake,485
3,2004,Earthquake,571
52,2004,Eruption,49
53,2005,Eruption,46
7,2005,Earthquake,533
12,2006,Earthquake,508
55,2006,Eruption,44
68,2007,Eruption,36
1,2007,Earthquake,608
11,2008,Earthquake,508
54,2008,Eruption,46
10,2009,Earthquake,517
91,2009,Eruption,31
4,2010,Earthquake,559
81,2010,Eruption,33
0,2011,Earthquake,713
70,2011,Eruption,35
67,2012,Eruption,37
29,2012,Earthquake,445
24,2013,Earthquake,461
80,2013,Eruption,34
17,2014,Earthquake,480
62,2014,Eruption,39
65,2015,Eruption,39
27,2015,Earthquake,446
78,2016,Eruption,34
21,2016,Earthquake,469
